employee_id,first_name,last_name,email,department,job_title,store_id,region_id,hire_date,salary,is_active,manager_id
69,Ryan,Duarte,gordonjessica@anderson-shepard.biz,Finance,Accountant,18,7,5/17/2023,39003.47,TRUE,213
70,Sean,Perkins,pchristensen@tran.net,Sales,Account Executive,25,5,11/5/2025,95871.27,TRUE,191
71,Nancy,Gilbert,ibailey@stewart-daniels.com,Sales,Sales Manager,,1,6/6/2026,103806.13,TRUE,125
72,Kimberly,Steele,obonilla@escobar.net,Sales,Sales Manager,9,8,5/1/2026,105998.47,TRUE,
73,Whitney,Henderson,bridgethowell@long.com,Customer Service,Quality Analyst,,2,5/16/2024,144749.98,FALSE,25
74,Vanessa,Shepard,delacruzspencer@riggs.com,IT,Support Technician,8,9,1/5/2017,136819.95,TRUE,153
75,Paul,Carter,jenniferfernandez@howard.com,Customer Service,Team Lead,33,1,3/26/2015,93239.14,TRUE,196
76,Brenda,Scott,nguyenjack@mcmillan.biz,Operations,Shift Supervisor,1,8,10/18/2020,50509,TRUE,
77,James,Grant,powerstammy@johnson.com,IT,Developer,24,2,3/8/2025,68115.12,TRUE,
78,April,Buchanan,thomasgarcia@castro-hayden.info,Finance,Finance Manager,,8,9/11/2020,41110.14,TRUE,243
79,Hector,Middleton,christophercole@petty.com,IT,Support Technician,8,4,8/24/2020,143122.61,TRUE,272
80,Mark,Walker,contreraskayla@miller.info,HR,HR Coordinator,23,2,6/29/2025,124854.16,TRUE,
81,Brandon,Barrett,jenniferfarrell@campbell-gutierrez.com,Sales,Account Executive,,1,12/5/2016,142461.46,TRUE,170
82,Robert,Landry,erik05@sanchez.com,Logistics,Logistics Coordinator,,3,2/4/2024,85428.88,TRUE,
83,Justin,Johnson,moniqueweaver@clark.info,Logistics,Supply Chain Manager,33,8,7/5/2020,126622.24,TRUE,78
84,Brittany,Hubbard,andersonkim@morales.com,IT,Developer,39,1,10/3/2018,74428.55,FALSE,211
85,Billy,Jackson,evan03@peterson.net,Sales,Account Executive,,5,12/21/2023,125726.49,TRUE,106
86,Christopher,Peterson,powellkathryn@sandoval-wilson.com,HR,HR Coordinator,,6,9/29/2025,92477.86,TRUE,221
87,Joshua,Barnett,gonzalezwilliam@hutchinson.com,Logistics,Supply Chain Manager,28,5,5/5/2022,55454.54,TRUE,100
88,Theresa,Miller,roberta84@thomas.com,Marketing,Marketing Manager,21,5,4/6/2020,74130.09,TRUE,189
89,Craig,Callahan,stephanie56@baker.com,Sales,Sales Manager,19,7,3/2/2025,111240.16,TRUE,56
90,Molly,Leach,melissa19@clark.com,Customer Service,Quality Analyst,50,4,3/25/2023,59103.44,TRUE,
91,Kirk,Lopez,richardkelley@thomas.net,Finance,Accountant,,4,11/13/2018,59196.4,TRUE,123
92,Megan,Hardin,ashley85@brown.info,Marketing,Campaign Lead,,3,3/24/2021,68656.73,TRUE,79
93,David,Reynolds,michelegould@ruiz.com,Customer Service,CSR,,1,1/24/2020,119937.97,TRUE,223
94,Thomas,Fitzgerald,michaelward@hunter.org,Logistics,Driver,30,1,1/31/2021,123731.21,TRUE,83
95,Toni,Roberts,ccarr@villegas.com,Customer Service,CS Manager,33,7,2/13/2017,139617.1,TRUE,183
96,Margaret,Henderson,johnbautista@berry.info,Finance,Controller,,1,3/23/2021,127274.28,TRUE,76
97,Mark,Page,james91@curry-west.net,Finance,Financial Analyst,3,8,7/31/2021,35338.31,TRUE,278
98,Rachel,Lowery,aorozco@bishop.com,Operations,Operations Manager,4,8,8/27/2025,72898.9,TRUE,71
99,David,Weaver,agarcia@king.biz,Marketing,Marketing Analyst,43,7,12/19/2021,126862.98,TRUE,90
100,Lisa,Harris,delacruzdennis@becker.com,Marketing,Campaign Lead,37,7,3/24/2021,33273.88,TRUE,205
101,Brian,Mills,stevensrebecca@fox.biz,Marketing,Content Specialist,4,5,10/28/2017,114141.07,TRUE,
102,Heather,Mercer,donaldschneider@nunez.com,HR,Training Specialist,2,7,7/5/2015,93690.27,FALSE,69
103,Robert,Robinson,wparker@baker.com,Operations,Operations Manager,,8,11/2/2017,144254.64,TRUE,22
104,Sarah,Smith,brian15@harris.org,Sales,Senior Sales Rep,,1,6/2/2020,101811.57,TRUE,133
105,Hannah,Cisneros,kimberlystone@farmer.org,HR,Training Specialist,3,5,6/10/2017,133404.05,TRUE,
106,Stacy,Lewis,dho@campbell-diaz.com,Logistics,Supply Chain Manager,45,8,3/24/2026,135506.43,TRUE,94
107,Christine,Ross,kelsey73@ford.org,Marketing,Content Specialist,,9,1/5/2022,109714.95,TRUE,213
108,Stephanie,Malone,samuel21@thompson.biz,HR,HR Coordinator,41,8,12/3/2020,103801.79,TRUE,272
109,Matthew,Jones,jenkinsbrian@burke.com,Customer Service,CSR,14,8,1/5/2026,91216.29,TRUE,172
110,Jake,Hill,calvinsmith@reyes.org,Finance,Controller,,7,2/15/2019,115049.67,TRUE,12
111,Christopher,Berry,fnicholson@summers-watkins.biz,HR,HR Coordinator,21,8,8/15/2021,93077.9,TRUE,226
112,James,Thomas,osbornlisa@rivera.biz,Finance,Accountant,,3,7/8/2014,141957.17,TRUE,174
113,Stacy,Clayton,joeedwards@white.com,Logistics,Logistics Coordinator,,5,8/11/2017,141099,TRUE,
114,Patrick,Baker,greencory@carroll.com,Marketing,Campaign Lead,11,8,8/5/2016,57541.59,TRUE,245
115,Russell,Rogers,hunterdaniel@lucas-walker.biz,Logistics,Driver,,9,12/1/2025,66906.59,FALSE,267
116,Nicholas,Turner,carlsonlisa@sanford-clark.com,HR,Training Specialist,,1,11/24/2022,118329.01,TRUE,209
117,Kelly,Gould,katherinedaniels@blevins.com,Logistics,Logistics Coordinator,,8,12/21/2020,89742.77,TRUE,65
118,Lindsey,Goodman,handerson@keith.com,IT,IT Manager,20,3,9/1/2021,61725.98,TRUE,233
119,Mark,Davis,woodchristie@herrera.com,Operations,Shift Supervisor,4,8,5/5/2024,50307.94,TRUE,139
120,Kyle,Velasquez,anna59@petersen.com,Sales,Account Executive,7,6,8/27/2024,143763.4,TRUE,84
121,Cynthia,Buck,veronica16@kim.com,Customer Service,Team Lead,43,9,2/24/2020,91394.42,TRUE,104
122,Karen,Evans,jenningslance@thompson-hernandez.info,Logistics,Logistics Coordinator,,5,4/25/2015,79822.23,TRUE,289
123,Michael,Jones,kimberlyduran@singh.info,Logistics,Driver,4,4,12/1/2024,72725.46,TRUE,284
124,Lauren,Andrews,katrina55@hernandez.biz,Sales,Sales Manager,,2,6/3/2018,111781.77,TRUE,211
125,Jeffrey,Fields,whitejennifer@mccall.org,Operations,Inventory Clerk,,6,9/13/2023,32459.58,TRUE,
126,Erin,Young,william41@norman-stewart.biz,Marketing,Content Specialist,27,5,5/26/2026,128654.8,TRUE,
127,Brenda,Weiss,fjones@lynch.com,Logistics,Warehouse Associate,,1,3/11/2020,96022.02,TRUE,
128,Kelli,Scott,npope@johnson.com,Marketing,Campaign Lead,43,6,3/12/2016,66906.34,TRUE,128
129,Jason,Caldwell,jcantrell@johnson.com,Sales,Sales Associate,,9,4/21/2024,130229.54,TRUE,
130,Teresa,Hayes,richard86@levine.net,Customer Service,CS Manager,42,3,3/1/2020,122896.57,FALSE,93
131,Jason,Suarez,dvasquez@boyer.info,Operations,Operations Manager,36,9,8/19/2016,137534.72,TRUE,102
132,Jerry,Jimenez,sandersjessica@vasquez.com,Sales,Account Executive,13,3,11/26/2023,44317.8,TRUE,205
133,Kristine,Edwards,hudsontaylor@greer.info,Marketing,Marketing Analyst,4,9,7/16/2020,108699.38,TRUE,61
134,Kristen,Smith,gregory79@garcia-king.com,Customer Service,CSR,,5,1/27/2026,32105.02,TRUE,
135,Albert,Marquez,sandrabrown@bennett.com,Sales,Account Executive,,3,3/16/2016,142598.26,TRUE,132
136,David,Ross,sherri27@bates-smith.biz,Finance,Finance Manager,42,5,6/6/2026,118194.83,TRUE,
137,Austin,Turner,rodriguezryan@warren-davis.info,Logistics,Supply Chain Manager,,6,11/22/2018,141966.52,TRUE,135
138,Christine,Mckenzie,davidnelson@hill.com,Marketing,Marketing Analyst,1,3,1/3/2022,89443.06,TRUE,99
139,Jennifer,Harris,nelsonedward@farrell.com,Customer Service,CS Manager,41,9,10/27/2023,87770.44,TRUE,96
140,Zachary,Woods,kimberlymartin@johnson-chavez.com,Sales,Sales Manager,44,6,9/2/2025,131621.23,TRUE,272
141,Robert,Perez,lauramurphy@cook.org,Operations,Shift Supervisor,,2,12/19/2017,77128.39,TRUE,11
142,Robert,Garcia,heatherduffy@price.com,Finance,Financial Analyst,32,8,1/5/2020,111654.55,TRUE,117
143,Robin,Hanson,beverly73@ortiz.com,Finance,Financial Analyst,20,6,5/5/2024,108738.89,TRUE,256
144,James,Hawkins,palvarez@thomas.net,HR,HR Coordinator,,8,8/6/2019,138569.36,TRUE,202
145,Daniel,Spencer,castanedajustin@page.com,HR,Training Specialist,,9,7/28/2025,55853.09,TRUE,
146,Brian,Waters,mgray@turner.org,Sales,Account Executive,43,2,9/23/2023,34461.5,TRUE,150
147,Stephanie,Carlson,jeffreysuarez@ortiz.com,HR,Recruiter,11,4,5/9/2022,39461.16,TRUE,
148,Logan,Crawford,smithelizabeth@sanders.biz,Operations,Shift Supervisor,33,6,5/11/2022,140525.94,TRUE,93
149,Jasmine,Hill,lawrencemccullough@martinez-hudson.com,HR,HR Coordinator,,6,11/24/2021,85061.69,TRUE,
150,Amanda,Douglas,wilsonerin@holloway.net,HR,Recruiter,,6,8/14/2014,132822.88,TRUE,
151,Heather,Rodriguez,brookestone@bryant.com,Operations,Shift Supervisor,,5,12/4/2023,63101.32,TRUE,14
152,Jessica,Gomez,amanda48@hart-lopez.com,Sales,Account Executive,14,2,8/30/2014,138218.83,TRUE,150
153,Andrea,Smith,nathanmartinez@medina-johnson.org,Finance,Finance Manager,35,5,11/15/2015,128827.75,TRUE,108
154,Abigail,Anderson,traceynguyen@martinez.biz,Marketing,Content Specialist,5,2,12/2/2024,121738.74,TRUE,78
155,Michael,Jones,lisacollins@hebert.info,Marketing,Marketing Analyst,17,8,9/1/2024,142138.54,TRUE,238
156,Kathleen,Lee,nataliecarpenter@brown.com,Customer Service,CSR,24,1,2/16/2022,82166.18,TRUE,11
157,Melody,Mcconnell,zgomez@smith-michael.com,Logistics,Logistics Coordinator,14,3,6/21/2018,82147.68,TRUE,104
158,Susan,Brandt,samuelhowe@riley.org,Operations,Inventory Clerk,10,1,9/14/2024,140229.33,TRUE,131
159,Kristopher,White,perryangela@cole-williams.com,Customer Service,CSR,40,4,6/5/2021,81824.99,TRUE,169
160,Stacy,Nichols,dmercer@bryant.com,Operations,Shift Supervisor,40,7,9/3/2024,126445.71,TRUE,56
161,Darrell,Johnson,christopheraguilar@ramirez.biz,HR,HR Manager,,2,10/28/2023,129899.32,TRUE,115
162,Kim,Wise,connie74@higgins.com,IT,Data Analyst,37,3,1/2/2023,91585.79,TRUE,
163,Amy,Scott,reyesheather@nelson-clayton.com,Sales,Sales Associate,23,2,12/20/2024,67671.78,TRUE,247
164,Parker,Fisher,marybrown@cox-hicks.com,HR,Training Specialist,35,8,3/7/2026,140224.81,TRUE,115
165,Charlene,Thompson,elizabeth73@hayes.org,Finance,Financial Analyst,,8,2/13/2023,96876.91,TRUE,
166,Joshua,Copeland,andrew82@gray-lopez.biz,Finance,Finance Manager,22,7,7/3/2023,131424.05,TRUE,49
167,Thomas,Williams,collinkelley@perez.com,Customer Service,Quality Analyst,4,3,6/11/2018,44719.22,FALSE,
168,Matthew,Hodges,perezangela@morales-townsend.info,Sales,Senior Sales Rep,28,5,12/10/2022,106909.03,TRUE,268
169,Ryan,Patton,renee70@randall-greene.com,Customer Service,CSR,23,2,5/11/2022,103924.45,TRUE,28
170,Shannon,Ramirez,rmason@maddox.biz,Logistics,Logistics Coordinator,,1,7/21/2021,69392.35,TRUE,197
171,Caleb,Little,howellmiguel@perry.com,Finance,Financial Analyst,30,3,12/29/2019,112107.67,TRUE,198
172,Kendra,Ramos,lisaferguson@james.net,Operations,Shift Supervisor,33,8,2/14/2025,67850.3,FALSE,179
173,Michael,Greene,tammyjohnson@parker.com,Operations,Operations Manager,14,9,5/4/2019,87595.94,TRUE,
174,Andrea,Holland,brightroger@hanna.com,IT,Data Analyst,47,2,2/12/2021,67084.36,TRUE,138
175,Adrienne,Smith,karenchambers@hernandez.org,Marketing,Campaign Lead,21,7,5/5/2024,51866.61,TRUE,143
176,Janet,Mahoney,dixonjennifer@gregory-tucker.net,Sales,Senior Sales Rep,29,2,10/16/2023,127349,TRUE,212
177,Teresa,Mcguire,ldonovan@hood.org,IT,Support Technician,4,6,7/17/2014,108151.41,TRUE,
178,Ian,Quinn,bradleyburgess@cross.com,Marketing,Marketing Analyst,13,2,6/7/2017,105792.43,TRUE,
179,Ian,Jones,eringardner@mason.biz,Sales,Account Executive,7,5,3/1/2025,63394,TRUE,40
180,Charlene,Henderson,perezkaren@james.com,Logistics,Driver,44,7,9/4/2021,121970.68,TRUE,28
181,William,Peterson,williamsdeanna@thompson-young.com,HR,Recruiter,,1,5/18/2016,118863.18,FALSE,
182,Raymond,French,danielle36@parker.info,IT,IT Manager,45,5,2/7/2026,84142.48,TRUE,203
183,Joseph,Diaz,donaldsonangie@silva-davis.biz,IT,Data Analyst,47,3,6/14/2020,98438.29,TRUE,43
184,Ryan,Lee,jonathan01@kennedy.com,Sales,Sales Manager,,9,1/13/2025,68660.13,FALSE,78
185,Cathy,Davis,fgrimes@martinez.com,Finance,Financial Analyst,,5,12/24/2020,132705.65,TRUE,61
186,Jay,Phillips,davidlewis@garcia-moreno.com,HR,Training Specialist,27,2,6/16/2025,126659.55,TRUE,237
187,Marissa,Sanchez,stokessuzanne@williams.net,Finance,Accountant,50,5,9/27/2023,50635.45,TRUE,271
188,Jeremy,Roberts,nthomas@madden-ramirez.com,Marketing,Campaign Lead,,4,1/12/2020,39052.37,TRUE,58
189,Leslie,Vasquez,phillipsjason@hernandez-martin.com,IT,Support Technician,4,7,11/19/2015,76982.95,TRUE,
190,Joshua,Castro,ryan01@mccoy-bailey.biz,Logistics,Driver,,1,10/15/2018,62418.95,TRUE,294
191,Cheryl,Contreras,rperry@dixon-gibson.org,Customer Service,Quality Analyst,44,4,8/2/2017,43741.73,TRUE,227
192,Richard,Wise,nathanielchan@cox-robinson.com,Sales,Account Executive,36,8,11/3/2021,62639.39,TRUE,
193,William,Hobbs,jonathanjones@johnson.net,Operations,Shift Supervisor,33,4,12/6/2021,34079.07,TRUE,265
194,David,Perkins,oware@bennett.org,HR,Training Specialist,37,9,4/5/2017,89453.79,TRUE,111
195,Leslie,Smith,keithgarcia@nichols.com,Customer Service,CS Manager,34,7,10/31/2023,92781.73,TRUE,
196,Jacob,Jones,bryce27@parker-turner.com,HR,Recruiter,15,1,5/23/2022,130616.1,TRUE,226
197,Frank,Wilson,fraziernicole@wilson.com,Marketing,Marketing Manager,,6,6/14/2014,98716.28,TRUE,
198,Michael,Johnson,chapmandaniel@hamilton.com,Finance,Financial Analyst,10,2,9/9/2022,39416.91,TRUE,268
199,Nicholas,Rice,joshua78@greene.info,Marketing,Marketing Manager,,3,8/1/2017,134411.22,TRUE,208
200,Dawn,Mcdonald,cbrown@coleman.com,HR,HR Coordinator,29,2,10/17/2024,79475.86,TRUE,86
201,Amy,Sherman,pricewilliam@horn-white.info,Finance,Accountant,37,7,10/4/2019,104171.5,TRUE,115
202,Brittany,Cortez,uford@burgess-fitzgerald.org,Marketing,Marketing Analyst,33,2,2/15/2022,112135.39,TRUE,12
203,Elizabeth,Wells,elizabethharmon@mason-chavez.com,Sales,Sales Manager,39,1,5/14/2021,66336.61,TRUE,135
204,Amanda,Le,sanchezanthony@conley.org,Sales,Sales Manager,35,2,3/26/2019,69132.87,TRUE,131
205,Derrick,Miller,wkane@johnson.net,Operations,Inventory Clerk,6,2,9/27/2025,102314.24,TRUE,274
206,Jimmy,Lang,benjamin74@li.com,Sales,Sales Associate,28,1,3/11/2025,104375.61,TRUE,150
207,Eric,Parker,xlove@smith.com,HR,HR Coordinator,41,7,12/5/2020,130432.82,TRUE,
208,Ryan,Williams,zcampbell@weaver-vazquez.biz,Customer Service,Team Lead,18,3,8/25/2018,141649.47,TRUE,26
209,James,Dalton,melissa17@holloway-diaz.org,Sales,Sales Manager,48,6,7/9/2020,94643.95,TRUE,131
210,John,Porter,campbelljay@ramirez-humphrey.com,Customer Service,Quality Analyst,38,6,11/18/2016,111288.13,TRUE,18
211,Edward,Rodriguez,robertmurray@parker-rose.info,Finance,Accountant,,6,2/22/2022,39288.51,TRUE,48
212,Michelle,Andrade,kimberly24@mcconnell-lloyd.org,Customer Service,CS Manager,39,7,12/15/2018,52122.28,TRUE,156
213,Amanda,Moore,alee@moore.com,Customer Service,Quality Analyst,,2,5/1/2017,100932.42,TRUE,260
214,Stephanie,Lopez,michael26@brewer.com,Finance,Financial Analyst,5,1,8/9/2023,41350.77,TRUE,207
215,John,Glover,mmclaughlin@brown.com,Finance,Financial Analyst,,3,7/1/2019,143114.09,TRUE,243
216,Angela,Miller,njenkins@davis.info,Sales,Sales Manager,44,3,6/5/2017,79758.81,TRUE,185
217,Charles,Schroeder,leslie40@lambert.com,IT,IT Manager,,5,9/28/2025,60935.68,TRUE,
218,Steve,Jones,christinefoster@li.biz,Sales,Sales Associate,,6,11/11/2020,85933.55,TRUE,190
219,Sean,Gray,paulanthony@carpenter.biz,Marketing,Content Specialist,49,6,3/27/2016,143041.81,TRUE,105
220,Robert,Spence,tamaradavis@fowler-rodriguez.com,Customer Service,CS Manager,,4,5/23/2024,100906.68,TRUE,86
221,James,Andrews,ajohnson@hernandez.info,IT,Developer,46,4,12/15/2024,48634.42,TRUE,50
222,Lisa,Smith,martinezheather@miller.com,Finance,Finance Manager,31,7,12/9/2020,68826.25,TRUE,252
223,Roy,Singleton,diazkathy@nunez.com,Finance,Financial Analyst,1,7,2/10/2024,112168.71,TRUE,167
224,Christine,Clark,christopherward@fitzgerald.com,Sales,Sales Manager,11,5,7/9/2025,36708.39,TRUE,266
225,Samantha,Weeks,codyvelez@lowery.com,Logistics,Logistics Coordinator,23,9,11/27/2023,81797.46,TRUE,
226,Thomas,Bruce,cbrown@ramirez.net,Customer Service,CSR,49,3,12/27/2015,103194.13,TRUE,238
227,Gregory,Lewis,clarksheryl@greene.net,Finance,Controller,,1,9/6/2023,73492.5,TRUE,70
228,Laura,Freeman,wyattalexander@franklin-flores.com,Logistics,Logistics Coordinator,46,2,6/17/2014,141831.47,TRUE,11
229,Katie,Nguyen,zbrown@mcdonald.com,Marketing,Marketing Analyst,9,8,5/26/2021,116440.95,TRUE,154
230,Mary,Patrick,donna46@price.com,Marketing,Marketing Manager,29,8,7/14/2014,136510.68,TRUE,279
231,Judith,Allen,robinmeza@cook.com,Logistics,Logistics Coordinator,6,4,6/6/2021,143558.82,TRUE,242
232,Teresa,Alexander,yrodriguez@davidson.net,Sales,Sales Associate,45,6,2/29/2024,60043.55,TRUE,282
233,Lucas,Lewis,tiffany30@lewis-powell.net,Marketing,Content Specialist,42,4,9/12/2017,143243.01,TRUE,170
234,James,Little,wendywatts@hall.com,Customer Service,CS Manager,49,8,6/22/2020,121507.33,TRUE,171
235,Cameron,Watson,ulewis@jackson.com,Marketing,Content Specialist,25,3,10/10/2022,138144.37,TRUE,106
236,John,Lowery,erik97@garcia-black.info,HR,Training Specialist,44,5,5/6/2016,122397.97,TRUE,198
237,Kelly,Miller,samuelsmith@cobb.biz,Marketing,Content Specialist,29,2,1/15/2025,95167.1,TRUE,222
238,Laura,Lynch,kfarrell@williams.info,Finance,Finance Manager,3,7,10/9/2025,106356.63,TRUE,78
239,Anthony,Gilmore,allisonwilliams@stevens.com,Operations,Store Associate,38,9,7/5/2019,144992.11,TRUE,95
240,Melissa,Harrison,edward12@thomas-ramos.com,Customer Service,CS Manager,7,1,6/15/2015,59737.71,TRUE,185
